id,state,location,guests,beds,property_type,n_reviews,rating,price
LV9092,ILLINOIS,"Humboldt Park, Chicago.",2,1,Apartment,2.0,100.0,88
DR8379,California,"Carson, Los Angeles.",5,3,House,98.0,97.0,125
WU7607,Massachusetts,"South End, Boston.",2,1,Apartment,22.0,98.0,98
LH6030,Massachusetts,"Dorchester, Boston.",3,2,Apartment,2.0,100.0,125
IT3784,Massachusetts,"East Boston, Boston.",2,1,House,356.0,90.0,104
GR9071,ILLINOIS,"Wicker Park, Chicago.",5,2,Apartment,3.0,87.0,149
ZM5980,Massachusetts,"Jamaica Plain, Boston.",5,3,Apartment,145.0,98.0,139
NK5195,ILLINOIS,"Lincoln Park, Chicago.",4,2,Condominium,42.0,96.0,122
LE9861,MASSACHUSETTS,"South End, Boston.",2,1,Condominium,21.0,98.0,128
YL2411,Massachusetts,"Allston-Brighton, Boston.",2,1,Apartment,12.0,100.0,149
FV3532,California,"Marina, San Francisco.",1,1,Condominium,1.0,80.0,125
AO3454,Massachusetts,"Mattapan, Boston.",2,1,Apartment,3.0,90.0,48
ST4478,California,"Mid-Wilshire, Los Angeles.",2,1,Apartment,32.0,90.0,110
ZL4390,California,"Burbank, Los Angeles.",3,2,Apartment,47.0,97.0,119
PL2520,Illinois,"Loop, Chicago.",2,1,Apartment,21.0,93.0,119
MJ8802,CALIFORNIA,"Marina Del Rey, Los Angeles.",3,1,Condominium,1.0,100.0,98
CW2210,California,"Echo Park, Los Angeles.",2,1,Apartment,11.0,98.0,115
IQ4844,California,"East Hollywood, Los Angeles.",2,1,Apartment,16.0,87.0,69
IR1844,massachusetts,"Allston-Brighton, Boston.",5,4,Apartment,5.0,82.0,119
TC9537,illinois,"Old Town, Chicago.",4,2,Apartment,2.0,100.0,128
IH9457,massachusetts,"South Boston, Boston.",2,1,House,153.0,93.0,122
CJ5335,california,"Mar Vista, Los Angeles.",2,1,House,63.0,90.0,55
CJ1310,Illinois,"West Town/Noble Square, Chicago.",6,3,House,53.0,96.0,122
HU4579,MASSACHUSETTS,"South Boston, Boston.",3,1,Condominium,24.0,92.0,108
RP1611,CALIFORNIA,"Venice, Los Angeles.",3,1,Apartment,39.0,94.0,175
JV8487,CALIFORNIA,"Bernal Heights, San Francisco.",2,1,House,11.0,98.0,125
WE7914,california,"Balboa Terrace, San Francisco.",2,1,House,19.0,99.0,122
LG6908,California,"Financial District, San Francisco.",2,1,Apartment,3.0,97.0,195
TJ3988,CALIFORNIA,"Arcadia, Los Angeles.",6,3,House,5.0,100.0,188
HR9207,massachusetts,"East Boston, Boston.",2,1,Apartment,22.0,96.0,125
VM9239,Illinois,"Lincoln Park, Chicago.",4,1,Apartment,11.0,96.0,139
GY7214,CALIFORNIA,"Sherman Oaks, Los Angeles.",6,4,Apartment,7.0,93.0,74
QH8329,California,"Marina Del Rey, Los Angeles.",2,1,Apartment,4.0,98.0,190
RJ4302,california,"Noe Valley, San Francisco.",4,1,Other,21.0,99.0,139
WQ9969,massachusetts,"Jamaica Plain, Boston.",2,2,House,1.0,100.0,125
XG3289,California,"Venice, Los Angeles.",2,1,Apartment,60.0,97.0,150
ZR5298,california,"Mid-Wilshire, Los Angeles.",4,2,Apartment,3.0,93.0,100
XZ5531,California,"Redondo Beach, Los Angeles.",2,1,Bungalow,3.0,90.0,100
EE8333,ILLINOIS,"Lakeview, Chicago.",2,1,House,15.0,80.0,115
AA6024,Massachusetts,"East Boston, Boston.",3,1,Apartment,61.0,95.0,115
